node_1,node_2,topic_name,edge,count
A* heuristic,operator parameter domains,"Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer,Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer",contextual proximity,2
A* heuristic,preferring zero commitment plan refinements,"Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer,Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer",contextual proximity,2
A* heuristic,search control,"Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer,Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer,Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer","The author proposes a simple adjustment to the default A* heuristic used by UCPOP for search control.,contextual proximity",6
A* heuristic,speedups,"Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer,Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer",contextual proximity,2
ADtree,independent of the number of records,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",contextual proximity,2
ADtree,minimize memory use,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,"We provide a very sparse data structure, the ADtree, to minimize memory use.",4
ADtree,quick counting,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",contextual proximity,2
ADtree methods,independent of the number of records,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",contextual proximity,2
ADtree methods,quick counting,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",contextual proximity,2
ADtree methods,traditional direct counting approaches,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,"We show how the ADtree can be used to accelerate Bayes net structure finding algorithms, rule learning algorithms, and feature selection algorithms, and we provide a number of empirical results comparing ADtree methods against traditional direct counting approaches.",4
ADtrees,independent of the number of records,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",contextual proximity,2
ADtrees,quick counting,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",contextual proximity,2
ALCNR,highly expressive terminological language,Decidable Reasoning in Terminological Knowledge Representation Systems,"The capabilities of this TKRS go beyond those of presently available ones because it uses a highly expressive terminological language called ALCNR, which includes general complements of concepts, number restrictions, and role conjunction.",4
ALCNR,inclusion statements,"Decidable Reasoning in Terminological Knowledge Representation Systems,Decidable Reasoning in Terminological Knowledge Representation Systems",contextual proximity,2
ALCNR-knowledge bases,inclusion statements,"Decidable Reasoning in Terminological Knowledge Representation Systems,Decidable Reasoning in Terminological Knowledge Representation Systems",contextual proximity,2
ANNs,SPA,Learning the Past Tense of English Verbs: The Symbolic Pattern   Associator vs. Connectionist Models,"Several artificial neural networks (ANNs) have been implemented, and a challenge for better symbolic models has been posed. In this paper, we present a general-purpose Symbolic Pattern Associator (SPA) based upon the decision-tree learning algorithm ID3.",4
Abundant computing power,An algorithm that learns from a set of examples,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",contextual proximity,2
Abundant computing power,REGENT algorithm,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",contextual proximity,3
Activate,Improvement to standard local activation function,Decision-Theoretic Foundations for Causal Reasoning,We propose an improvement to the standard local activation function used for such networks.,4
Activate,Uniform algorithm,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",contextual proximity,3
Activate only one unit at a time,Uniform algorithm,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",contextual proximity,3
Activities and resource allocations,Artificial economy,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,2
Activities and resource allocations,Competitive equilibrium,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,2
Activities and resource allocations,Market price systems,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,9
Algorithmic,Plan-design process,"Truncating Temporal Differences: On the Efficient Implementation of   TD(lambda) for Reinforcement Learning,Truncating Temporal Differences: On the Efficient Implementation of   TD(lambda) for Reinforcement Learning",contextual proximity,2
Allen's interval algebra,Horn DLRs,"Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered","The algebras allow for metric temporal constraints on interval starting or ending points, using the recent framework of Horn DLRs.,contextual proximity",7
Allen's interval algebra,eight new maximal tractable subclasses of Allen's interval algebra,"Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered","Eight new maximal tractable subclasses of Allen's interval algebra are presented, some of them subsuming previously reported tractable algebras.,contextual proximity",7
Allen's interval algebra,maximal tractable subclasses of Allen's interval algebra,"Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered","This paper combines two important directions of research in temporal resoning: that of finding maximal tractable subclasses of Allen's interval algebra, and that of reasoning with metric temporal information.,contextual proximity",7
Allen's interval algebra,sequentiality between intervals,"Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered",contextual proximity,3
Allen's interval algebra,two algebras,"Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered,Bidirectional Heuristic Search Reconsidered",contextual proximity,3
Allen's interval-based framework for representing temporal information,algorithms for determining whether the temporal information is consistent,"Active Learning with Statistical Models,Active Learning with Statistical Models",contextual proximity,2
Allen's interval-based framework for representing temporal information,backtracking algorithm,"Active Learning with Statistical Models,Active Learning with Statistical Models",contextual proximity,2
Allen's interval-based framework for representing temporal information,path consistency algorithm,"Active Learning with Statistical Models,Active Learning with Statistical Models",contextual proximity,2
Allen's interval-based framework for representing temporal information,temporal reasoning component,"Active Learning with Statistical Models,Active Learning with Statistical Models",contextual proximity,2
An algorithm that learns from a set of examples,Abundant computing power,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm","The ability to exploit abundant computing power improves the algorithm's ability to generalize.,contextual proximity",6
An algorithm that learns from a set of examples,An initial population of knowledge-based neural networks,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",contextual proximity,2
An algorithm that learns from a set of examples,Better network topologies,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",contextual proximity,2
An algorithm that learns from a set of examples,Domain-specific knowledge,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm","Connectionist theory-refinement systems use domain-specific knowledge to select a neural network's topology and initial weights, which helps exploit domain-specific knowledge.,contextual proximity",6
An algorithm that learns from a set of examples,Genetic operators of crossover and mutation (specifically designed for knowledge-based networks),"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",contextual proximity,2
An algorithm that learns from a set of examples,REGENT algorithm,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",contextual proximity,6
An initial population of knowledge-based neural networks,An algorithm that learns from a set of examples,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",contextual proximity,2
An initial population of knowledge-based neural networks,REGENT algorithm,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",contextual proximity,3
Arbitrary lambda,Reinforcement learning algorithms,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",contextual proximity,2
Arbitrary lambda,TD methods,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",contextual proximity,2
Arbitrary lambda,TTD,"Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-Learning Recursive Logic Programs: Efficient Algorithms",contextual proximity,2
Artificial Intelligence,formulae,"SYNERGY: A Linear Planner Based on Genetic Programming,SYNERGY: A Linear Planner Based on Genetic Programming",contextual proximity,2
Artificial Intelligence,nonmonotonicity,"SYNERGY: A Linear Planner Based on Genetic Programming,SYNERGY: A Linear Planner Based on Genetic Programming",contextual proximity,2
Artificial Intelligence,preferential logics,"SYNERGY: A Linear Planner Based on Genetic Programming,SYNERGY: A Linear Planner Based on Genetic Programming",contextual proximity,2
Artificial economy,Activities and resource allocations,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,2
Artificial economy,Behavior analysis,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,2
Artificial economy,Competitive equilibrium,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems","We compute the competitive equilibrium of an artificial economy to derive the activities and resource allocations for a set of computational agents.,contextual proximity",8
Artificial economy,Computational agents,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,2
Artificial economy,Computational market structures,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,2
Artificial economy,Distributed problem solving,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,2
Artificial economy,Efficient distributed resource allocation,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,2
Artificial economy,Market price systems,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,18
Artificial economy,Mechanisms for decentralized decision making,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,2
Artificial economy,Multicommodity flow problem,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,2
Artificial economy,Price equilibria,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,2
Assumptions,independent of the number of records,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning","Subject to certain assumptions, the costs of these operations can be shown to be independent of the number of records in the dataset.,contextual proximity",6
Assumptions,quick counting,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",contextual proximity,2
Asynchronous scheduler,Activate only one unit at a time,Decision-Theoretic Foundations for Causal Reasoning,An asynchronous scheduler can activate only one unit at a time while a synchronous scheduler can activate any number of units in a single time step.,4
Asynchronous scheduler,Uniform algorithm,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",contextual proximity,3
Attribute-selection measures,Decision-tree induction,2Planning for Contingencies: A Decision-based Approach,"Finally, we propose a number of objective functions, based on attribute-selection measures for decision-tree induction, that might perform well on the error rate and simplicity dimensions.",4
Bayesian network,Bayesian network inference,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,4
Bayesian network,CPCS networks for medical diagnosis,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,2
Bayesian network,VE algorithm,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,4
Bayesian network,causal independence,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,4
Bayesian network,conditional probability,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,2
Bayesian network,joint probability,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference","represents a factorization of the joint probability into conditional probabilities,contextual proximity",6
Bayesian network,variable,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,2
Bayesian network inference,Bayesian network,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,4
Bayesian network inference,CPCS networks for medical diagnosis,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,2
Bayesian network inference,VE algorithm,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,4
Bayesian network inference,causal independence,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,4
Bayesian network inference,conditional probability,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,2
Bayesian network inference,joint probability,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,2
Bayesian network inference,variable,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,2
Bayesian networks,graphical framework,"Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach",contextual proximity,2
Bayesian networks,graphical models,"Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach",contextual proximity,4
Bayesian networks,graphical specification,"Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach,Rerepresenting and Restructuring Domain Theories: A Constructive   Induction Approach",contextual proximity,2
Behavior analysis,Artificial economy,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,2
Behavior analysis,Competitive equilibrium,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,2
Behavior analysis,Market price systems,"A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems",contextual proximity,9
Better network topologies,An algorithm that learns from a set of examples,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",contextual proximity,2
Better network topologies,REGENT algorithm,"Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm,Identifying Hierarchical Structure in Sequences: A linear-time algorithm",contextual proximity,3
Boltzman machines,Hopfield nets,Decision-Theoretic Foundations for Causal Reasoning,Are examples of symmetric networks designed for energy minimization.,4
Boltzman machines,Uniform algorithm,"Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning,Decision-Theoretic Foundations for Causal Reasoning",contextual proximity,3
C4.5,Modifications to address weakness in continuous attribute domains,Least Generalizations and Greatest Specializations of Sets of Clauses,A reported weakness of C4.5 in domains with continuous attributes is addressed by modifying the formation and evaluation of tests on continuous attributes.,4
C4.5 and backpropagation,distributed output representation,"Adaptive Load Balancing: A Study in Multi-Agent Learning,Adaptive Load Balancing: A Study in Multi-Agent Learning,Adaptive Load Balancing: A Study in Multi-Agent Learning","We show that these output representations improve the generalization performance of both C4.5 and backpropagation on a wide range of multiclass learning tasks.,contextual proximity",6
C4.5 and backpropagation,k classes,"Adaptive Load Balancing: A Study in Multi-Agent Learning,Adaptive Load Balancing: A Study in Multi-Agent Learning",contextual proximity,2
C4.5 and backpropagation,multiclass learning problems,"Adaptive Load Balancing: A Study in Multi-Agent Learning,Adaptive Load Balancing: A Study in Multi-Agent Learning,Adaptive Load Balancing: A Study in Multi-Agent Learning,Adaptive Load Balancing: A Study in Multi-Agent Learning",contextual proximity,4
CBP,Case library,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",contextual proximity,2
CBP,Case-Based Planning (CBP),"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",contextual proximity,2
CBP,DERSNLP+EBL,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",contextual proximity,8
CBP,Domain-independent planning,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",contextual proximity,2
CBP,Mis-retrieval problem,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets","The success of CBP depends on these retrieval errors being relatively rare. This paper describes the design and implementation of a replay framework for the case-based planner DERSNLP+EBL.,contextual proximity",6
CBP,Multi-goal problems,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",contextual proximity,2
CBP,Performance improvements over generative (from-scratch) planning,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets","CBP has been demonstrated to improve performance over generative (from-scratch) planning in solving large problems.,contextual proximity",6
CBP,Replay framework,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",contextual proximity,2
CBP,Similarity judgements,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",contextual proximity,2
CLASSIC,description graphs,"Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text",contextual proximity,2
CLASSIC,"standard, model-theoretic semantics for description logics","Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text",contextual proximity,2
CLASSIC descriptions,description graphs,"Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text",contextual proximity,2
CLASSIC descriptions,"standard, model-theoretic semantics for description logics","Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text,Pattern Matching and Discourse Processing in Information Extraction from   Japanese Text",contextual proximity,2
CNF conversion,GSAT,"A System for Induction of Oblique Decision Trees,A System for Induction of Oblique Decision Trees",contextual proximity,2
CPCS networks for medical diagnosis,Bayesian network,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,2
CPCS networks for medical diagnosis,Bayesian network inference,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference","empirical studies based on these networks show that the proposed method is more efficient than previous methods and allows for inference in larger networks than previous algorithms,contextual proximity",6
CPCS networks for medical diagnosis,VE algorithm,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,2
CPCS networks for medical diagnosis,causal independence,"Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference,Query DAGs: A Practical Paradigm for Implementing Belief-Network   Inference",contextual proximity,2
CSP,MUSE CSP,"Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis,Lifeworld Analysis","MUSE CSP can be used to compactly represent several similar instances of the constraint satisfaction problem, reducing the work required to apply the constraints for problems which segment into multiple sets of partially shared variables.,contextual proximity",12
Case library,CBP,"Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets,Cached Sufficient Statistics for Efficient Machine Learning with Large   Datasets",contextual proximity,2
