node_1,node_2,edge,count,topic_name
existing backtracking methods,meaningful progress toward solving a search problem,"Because of their occasional need to return to shallow points in a search tree, existing backtracking methods can sometimes erase meaningful progress toward solving a search problem.",4,Dynamic Backtracking
backtrack points,deeper in the search space,"In this paper, we present a method by which backtrack points can be moved deeper in the search space, thereby avoiding this difficulty.",4,Dynamic Backtracking
dependency-directed backtracking,useful control information,The technique developed is a variant of dependency-directed backtracking that uses only polynomial space while still providing useful control information and retaining the completeness guarantees provided by earlier approaches.,4,Dynamic Backtracking
Market price systems,Mechanisms for decentralized decision making,"Under certain conditions, market price systems provide effective decentralization of decision making with minimal communication overhead. This is a well-understood class of mechanisms.",4,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems
Market price systems,Distributed problem solving,"In a market-oriented programming approach to distributed problem solving, we derive the activities and resource allocations for a set of computational agents by computing the competitive equilibrium of an artificial economy.",4,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems
Market price systems,Artificial economy,We compute the competitive equilibrium of an artificial economy to derive the activities and resource allocations for a set of computational agents in market-oriented programming approach.,4,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems
Market price systems,Computational agents,"In a market-oriented programming approach, we derive the activities and resource allocations for a set of computational agents by computing the competitive equilibrium of an artificial economy.",4,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems
Market price systems,Computational market structures,WALRAS provides basic constructs for defining computational market structures.,4,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems
Market price systems,Price equilibria,WALRAS provides protocols for deriving their corresponding price equilibria.,4,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems
Artificial economy,Competitive equilibrium,We compute the competitive equilibrium of an artificial economy to derive the activities and resource allocations for a set of computational agents.,4,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems
Competitive equilibrium,Activities and resource allocations,"By computing the competitive equilibrium of an artificial economy, we can derive the activities and resource allocations for a set of computational agents.",4,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems
Market price systems,Multicommodity flow problem,"In a particular realization of this approach for a form of multicommodity flow problem,",4,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems
Market price systems,Efficient distributed resource allocation,We see that careful construction of the decision process according to economic principles can lead to efficient distributed resource allocation.,4,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems
Market price systems,Behavior analysis,The behavior of the system can be meaningfully analyzed in economic terms.,4,A Market-Oriented Programming Environment and its Application to   Distributed Multicommodity Flow Problems
GSAT,propositional satisfiability,GSAT is an approximation procedure for propositional satisfiability.,4,An Empirical Analysis of Search in GSAT
hill-climbing,greedy,GSAT performs greedy hill-climbing on the number of satisfied clauses in a truth assignment.,4,An Empirical Analysis of Search in GSAT
score,mean number of satisfied clauses,"when applied to randomly generated 3SAT problems, there is a very simple scaling with problem size for both the mean number of satisfied clauses and the mean branching rate.",4,An Empirical Analysis of Search in GSAT
branching rate,mean branching rate,"when applied to randomly generated 3SAT problems, there is a very simple scaling with problem size for both the mean number of satisfied clauses and the mean branching rate.",4,An Empirical Analysis of Search in GSAT
