node_1,node_2,topic_name,count,edge
A* heuristic,operator parameter domains,"Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer,Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer",2,contextual proximity
A* heuristic,preferring zero commitment plan refinements,"Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer,Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer",2,contextual proximity
A* heuristic,search control,"Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer,Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer",2,contextual proximity
A* heuristic,speedups,"Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer,Quantitative Results Comparing Three Intelligent Interfaces for   Information Capture: A Case Study Adding Name Information into an Electronic   Personal Organizer",2,contextual proximity
ADtree,independent of the number of records,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",2,contextual proximity
ADtree,quick counting,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",2,contextual proximity
ADtree methods,independent of the number of records,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",2,contextual proximity
ADtree methods,quick counting,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",2,contextual proximity
ADtrees,independent of the number of records,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",2,contextual proximity
ADtrees,quick counting,"A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning,A reusable iterative optimization software library to solve   combinatorial problems with approximate reasoning",2,contextual proximity
